    0.0000   -0.0062
    0.0300   -0.0058
    0.0600   -0.0053
    0.0900   -0.0056
    0.1200   -0.0051
    0.1500   -0.0056
    0.1800   -0.0053
    0.2100   -0.0051
    0.2400   -0.0052
    0.2700   -0.0053
    0.3000   -0.0057
    0.3300   -0.0061
    0.3600   -0.0066
    0.3900   -0.0067
    0.4200   -0.0064
    0.4500   -0.0057
    0.4800   -0.0049
    0.5100   -0.0044
    0.5400   -0.0044
    0.5700   -0.0049
    0.6000   -0.0059
    0.6300   -0.0069
    0.6600   -0.0075
    0.6900   -0.0074
    0.7200   -0.0066
    0.7500   -0.0057
    0.7800   -0.0054
    0.8100   -0.0058
    0.8400   -0.0066
    0.8700   -0.0071
    0.9000   -0.0069
    0.9300   -0.0062
    0.9600   -0.0050
    0.9900   -0.0036
    1.0200   -0.0024
    1.0500   -0.0018
    1.0800   -0.0024
    1.1100   -0.0040
    1.1400   -0.0060
    1.1700   -0.0078
    1.2000   -0.0093
    1.2300   -0.0106
    1.2600   -0.0115
    1.2900   -0.0117
    1.3200   -0.0115
    1.3500   -0.0113
    1.3800   -0.0112
    1.4100   -0.0113
    1.4400   -0.0112
    1.4700   -0.0105
    1.5000   -0.0096
    1.5300   -0.0090
    1.5600   -0.0092
    1.5900   -0.0103
    1.6200   -0.0123
    1.6500   -0.0147
    1.6800   -0.0167
    1.7100   -0.0175
    1.7400   -0.0163
    1.7700   -0.0133
    1.8000   -0.0086
    1.8300   -0.0025
    1.8600    0.0041
    1.8900    0.0092
    1.9200    0.0105
    1.9500    0.0070
    1.9800   -0.0006
    2.0100   -0.0101
    2.0400   -0.0188
    2.0700   -0.0251
    2.1000   -0.0279
    2.1300   -0.0273
    2.1600   -0.0241
    2.1900   -0.0202
    2.2200   -0.0170
    2.2500   -0.0148
    2.2800   -0.0132
    2.3100   -0.0123
    2.3400   -0.0126
    2.3700   -0.0141
    2.4000   -0.0162
    2.4300   -0.0185
    2.4600   -0.0199
    2.4900   -0.0178
    2.5200   -0.0095
    2.5500    0.0053
    2.5800    0.0227
    2.6100    0.0363
    2.6400    0.0410
    2.6700    0.0357
    2.7000    0.0234
    2.7300    0.0085
    2.7600   -0.0051
    2.7900   -0.0141
    2.8200   -0.0163
    2.8500   -0.0118
    2.8800   -0.0034
    2.9100    0.0045
    2.9400    0.0082
    2.9700    0.0060
    3.0000   -0.0021
    3.0300   -0.0149
    3.0600   -0.0297
    3.0900   -0.0431
    3.1200   -0.0520
    3.1500   -0.0548
    3.1800   -0.0522
    3.2100   -0.0461
    3.2400   -0.0384
    3.2700   -0.0302
    3.3000   -0.0204
    3.3300   -0.0057
    3.3600    0.0140
    3.3900    0.0331
    3.4200    0.0443
    3.4500    0.0421
    3.4800    0.0265
    3.5100    0.0026
    3.5400   -0.0226
    3.5700   -0.0434
    3.6000   -0.0555
    3.6300   -0.0562
    3.6600   -0.0453
    3.6900   -0.0236
    3.7200    0.0062
    3.7500    0.0364
    3.7800    0.0574
    3.8100    0.0612
    3.8400    0.0445
    3.8700    0.0129
    3.9000   -0.0205
    3.9300   -0.0427
    3.9600   -0.0472
    3.9900   -0.0343
